,Review,Departments
173,worst experience far got faulty nods these not connect infinite note pro connect seconds gets automatically disconnected ,"Customer Service, Product Quality, Technical Support"
174,potato order kite rider kiss to deliver india bad complex not par roi response nail did gay,"Customer Service, Sales"
175,classic case cool technology failing miserable tried true analogy pencil pen sleek cool efficient not come charge take pad case pair charge pencil not easy get case handwriting conversion text annoying helpful get good keyboard instead want take notes type onto pad ,Customer Service
176,ordered white airport got black one ,Sales
177,not buy vendor absolutely fraud powder colour not like muslin powder full sand particles dust,Sales
178,not mark expensive product low quality fabric,Product Quality
179,got january one sides stopped working may total four months life span ,General
180,dear dark order blue color said seller need size unfortunately send black color size already chat order fraud shoes finishing pathetic hard sole worst experience need pay back ,"Customer Service, Shipping, Sales"
181,fragrance strange chemical undertone putting made overall scent unpleasant unnatural could not shake feeling wearing something synthesis rather well drafted fragrance ,General
182,good becomes sticky wearing first time not fully satisfied,General
183,item looked fine not seem damaged apple pencil purchased amazon com services ll already unwrapped arrived sold new not want take granted would continue okay would hold warranty apple called confirmed not packed way not know actually used used long already used maybe someone not want returned trying not know came way apple store may unwrapped distribution center returned item instead bought directly apple store item came packed new ,"Customer Service, Product Quality, Shipping, Sales"
184,bad quality never buy ,"Product Quality, Sales"
185,product ok working condition housing structure wise much lower good product thanks ,Product Quality
186,price frames market hundred,"Marketing, Sales"
187,sent completely different product,Product Quality
188,hoofs kind open shape looks kind odd still pretty cool ,General
189,good quality arrived bit late otherwise okay overall satisfied,"Product Quality, Shipping"
190,punch order product get packing within box buds overall product good fully satisfied thanks dark good work delivery time ,"Product Quality, Shipping, Sales"
191,ordered frames received price quality product average,"Product Quality, Shipping, Sales"
192,compass not working properly rest item seems fine use soon,Product Quality
193,ordered number send shoes quality low puff bad experience,"Product Quality, Shipping, Sales"
194,cheap quality ,Product Quality
195,not good better purchase refine cloth cover ,Sales
196,product quality not good working ok thanks dark ,Product Quality
197,leg temps per no function ,General
198,bad experience battery life poor one earned isn working data cable not charging device low poor quality ,"Product Quality, Technical Support"
199,color ordered clearly black received blue mildly satisfied got delivered delivery estimation quality accordingly price paid item,"Customer Service, Product Quality, Shipping, Sales"
200,item good little small size however note job nicely ,Product Quality
201,got slammed,General
202,asked back one sent brown one instead,General
203,pencil not work brought apple store tried get son pad keyboard would not son apple store replaced still awaiting two year warranty paid not receive ,Customer Service
204,first packing poor professional pad feels used ,General
205,not hold long charge gen one pencil way charge attaching pad would prefer secondary option charge pencil using pad not want attached pad lose need charge costs already price pen actually cumbersome use can charge magnetically connected pad can no longer easily use pen grip comfort cause get way charging pen also tried two ribs like screw time fall not offer second rib like gen ,"Customer Service, Sales"
206,low quality bags,Product Quality
207,nice finishing sticking size bit smaller standard ok ,Product Quality
208,average quality not big size ,Product Quality
209,scar showed branded product picture delivered branded product even expire date not mentioned good normal use can not use babies disappointed,"Product Quality, Marketing"
210,please not buy seller ,Sales
211,ordered bags received total unbelievable would not order axis not,"Shipping, Sales"
212,safe packing not check fragrance yet,General
213,delivered promised next day ordered mouse pads one better wrist pad quality two mouse pads low quality wrist pads ,"Product Quality, Sales"
214,print not good not shown picture,General
215,disappointing reviews face ordered steel instead got wooden one low quantity ones never ordering axis not ply reviews face not order made material toothpicks made not order,"Product Quality, Sales"
216,not bad size small like kid toy,General
217,bad experiences voice not clear package not sealed,Shipping
218,not waterproof waste product never oder anything dark,Product Quality
219,honest review not worth buying quality not good ,"Product Quality, Sales"
220,good quality product stitching not good overall good ,Product Quality
221,arrived time would not say best material used price definitely good quality serves purpose well arrived given time good experience,"Product Quality, Shipping, Sales"
222,got christmas used solid couple days suddenly started missing parts letters write really frustration wanted apple pencil bad palm rejection like not work time really irritating ,General
223,worth money ultimate question writing drawing experience great usual lots bells whistles apple enthusiast would probably drop major coin accessory without question average consumer importance not paramount could lived without added benefits provides still apple pencil great product complements pad air milk every dollar put enjoy best can ,Product Quality
224,pen works great rd one charge lasts okay accuracy fine great procreate hate price absurdly overpriced companies better useful pens cheaper ,Sales
225,device per specification battery device dead discharge one day lucky battery naval everywhere,Technical Support
226,not fresh,General
227,sorry late review order lightning stuff send simple white color upset delivered kiss,"Shipping, Sales"
228,not soft original one great quality price ,"Product Quality, Sales"
229,extremely poor low quality materials used manufacture wallet seller specified paper cards used wallet instead sort fabric good kiss not adult people want carry money use regularly ,Product Quality
230,ordered pencil use new pad school coming used screen came squiggly line would not write properly since solved particular issue says still transit asked refund failing pencil back amazon want money back poor customer support would not purchasing anything related apple point ,"Customer Service, Technical Support, Sales"
231,glitter bottles half full small size his not bottles colors good however ,General
232,little crack side,General
233,absolute trash look length showing feature image look delivered,General
234,watches good quality ordered pink black black ,"Product Quality, Sales"
235,tried make connection car scanned motor data true pro old car doctor not get success pp ,General
236,quality wise size big taste bland,Product Quality
237,not interesting product,Product Quality
238,handsfree good delivery time bit late everything okay and good,Shipping
239,best product price range heavy duty however finishing not good still works ,"Product Quality, Sales"
240,expensive item available is local market ,"Product Quality, Marketing"
241,bad quality oil smell found bars ended returning ,Product Quality
242,not advertised dont hold shirt ,Marketing
243,nice quality best make video party etc time wear black big size delivery soon late,"Product Quality, Shipping"
244,nice item poor price ordered number received ,"Product Quality, Shipping, Sales"
245,near expire huge lumps forming not fresh product,Product Quality
246,received ordered item new condition ,"Product Quality, Shipping, Sales"
247,not proper working device want change device,Technical Support
248,ordered blue colour got different plastic also low quality packing even getting discount still expensive price overall disappointed ,"Product Quality, Sales"
249,box not lights remote adapted scar ,General
250,product worthless one laser light not working nd one screws lose opens open cell came furthermore already send order no into desired colours not get colours ,"Product Quality, Shipping, Sales"
251,order delivered late email says going delivered days got weeks,"Customer Service, Sales"
252,breaks applying wall delicate not unable ,General
253,also nice nd originally order ll size nd send large not fit overall the,"Shipping, Sales"
254,ordered large size send extra large also quality just ok not high quality,"Product Quality, Shipping, Sales"
255,totally damaged used time wrong hardly joined parts first experience bad never recommend ,Product Quality
256,looks really had wrapped gloss black ,Shipping
257,good quality colors dark ,Product Quality
258,not work older pads,General
259,poor third class quality,Product Quality
260,small size compare size xiaomi fitness band get buyers idea size ,Sales
261,media could not loaded ,General
262,nice awesome product not see picture,Product Quality
263,shirts quality rest poor material defects like tight neck,Product Quality
264,poor quality used material,Product Quality
265,returned phantom drop to tis two days did th armada th day past did still status pending ,General
266,good good quality headphones delivery late thank ,"Product Quality, Shipping"
267,not work pad pro feel like made clear ,General
268,product not demand received started use blow seems like third class company would not recommend people buy product ,"Product Quality, Shipping, Sales"
269,nice headphones average quality good audit base also good,Product Quality
270,received shown perfect quality,"Product Quality, Shipping"
271,usual name sale size also reduces hut ,General
272,disappointed product received damage one,"Product Quality, Shipping"
273,sealed open also packing not sealed open not accept able,Shipping
274,came bad conditions can connected pad pro inches,General
275,hand wash fine usually dark packing not great refill packs dirty outside cleaned ,General
276,refrigerator adjustable shelves freeze compartment could spacious ,General
277,thick fine,General
278,ridiculous cheap material never shop axis not,Product Quality
279,not satisfied quality bags raise price can reduce pack pack not compromise quality not returning item compared gold brand guns need improve,"Product Quality, Marketing, Sales"
280,returned package due low quality end old fashioned well,"Product Quality, Shipping"
281,face face face selling face gone product sound difference original one handfree sounds like not is hole mid behind gone gone secondly there no mark going return sure,Product Quality
282,look red circle quality not good ,Product Quality
283,worst experience ever product can bought much lower price box damaged wire also damaged near east side,"Product Quality, Sales"
284,one handsfree not working properly good overall good sound ,Product Quality
285,product ok expire short till december not acceptable ,Product Quality
286,not shown bad scandals design change not got design ,General
287,red blue green color,General
288,delivery delayed overall experience always great ,Shipping
289,good product not company shown display picture seller,Product Quality
290,received defective understand happens sometimes refund pending two weeks hell going ,"Product Quality, Shipping"
291,made good quality stuff looks beautiful little bit expensive,Product Quality
292,totally wrong product fitting even ordering into please send not think even fit d ,"Product Quality, Shipping, Sales"
293,nonsense,General
294,ordered charcoal color sent grey overall product good not order size,"Product Quality, Sales"
295,ball material good air knob not good,Product Quality
296,lower quality lower fabric,Product Quality
297,low quality product bad finishing item damage scratches disappointed seller ,Product Quality
298,send wrong colours send pink colour told time,Shipping
299,normal quality price justified packing not good seller work packing,"Product Quality, Sales"
300,not fit dwyer,General
301,recommended not ideal places electricity fluctuates often burnt adapted ,Sales
302,received tollers receive clips not satisfied product kindly send clips,"Product Quality, Shipping"
303,good plastic low quality,Product Quality
304,received faulty product,"Product Quality, Shipping, Technical Support"
305,worked fine month stopped connecting not connect barely charges can connect ,General
306,bad experience bad cellular,General
307,rd order wiped mosquito repellent packing good spilled bag keep working packing,Sales
308,stopped working,General
309,bad experience unit came defective motor get replaced company disappointed ,Product Quality
310,good stuff would better open jump rings round instead triangle ,General
311,one isn dip low quality plastic material no side buttons working even strolling wheel top not work,Product Quality
312,airport well no bass good experience ,General
313,honestly little disappointed feel like robbed give bad review would say appreciated apple pencil box also liked apple pencil worked however would say thought given new version apple pencil say one got looked like used pictures see apple pencil debts beginning said felt robbed saw different buying option saw one option said new got opposite say got price high aside issue apple pencil worked connected magnet can write ,"Customer Service, Technical Support, Sales"
314,values always less oximeter not know accurate actual,Sales
315,ac received two days promised free installation awaited customer service not responded even days generation request installation poor customer service ,"Customer Service, Shipping, Technical Support"
316,not charitable am disappointed receiving thought charitable lights ,General
317,although size written written actually smaller written size otherwise good item price,"Product Quality, Sales"
318,nice flexible ll size not long considering delivery cost ok price,"Shipping, Sales"
319,low quality already request return butt no contact ,Product Quality
320,poor quality cheap remote stopped working days even replaced battery sticking led bad waste money,Product Quality
321,sound quality okay not sure original not ,Product Quality
322,expired item receive have return item,Product Quality
323,way overpriced thin piece cloth please not fooled not swimming anna whatever written ,Sales
324,ordered new nd gen apple pencil received open box st gen immediately suspicious realized not shrink wrapped saw box also torn took clearly apparent not even nd gen not look plugged charge pretty sure already returned least reason shipped right back apple pencils great not waste time buy one somewhere reputable learned lesson ,"Shipping, Sales"
325,remote not working even replacing battery lights good far seller not seem interested responding ,Product Quality
326,original box noticeable traces dirty snuffing no information booklet inside two booklet warranty descriptions different languages also box sealed appears open box product not see notice bought bought new bought gift can not give gift condition returned ,"Product Quality, Shipping"
327,disappointed dark seller three bottles leaned shampoo empty full bottle drop strongly disappointed can purchase dark bad experience,Sales
328,price much higher original,Sales
329,job plastic not good quality,Product Quality
330,came packet instead box not satisfied low quality,Product Quality
331,face product not recommended buy not original copy gone handsfree ,"Product Quality, Sales"
332,packing safe delivered fast one problem novel not fit ,"Shipping, Technical Support"
333,super asia cooper purchased dark arrived bit later expected disappointing packing also disappointing using week noticed strange smell air water droplets backside cooper ,"Shipping, Sales"
334,overall good product keep mind not overcoat,Product Quality
335,size stars small not shown picture ,General
336,product size small compare shown pictures finishing also not satisfying ,Product Quality
337,original product delivery time could reduced ,"Product Quality, Shipping"
338,time everything really bad quality waste money,Product Quality
339,product ok seller co operative size smaller expected my mentioned seller packing good little overpriced,"Product Quality, Sales"
340,item pretty much described video can complex not remember proper colors rib colors not appear strip instead light far away appear color strip still appear multiple different colors would advise everyone looking color apart rib colors look variant one not multiple colors strip shown video ignore reviews show purple colors strip even goose variant better support good luck,"Customer Service, Product Quality"
341,application not run failure watching,General
342,see received two seller drama mall two different orders face cover different inside face not head shoulder put ,"Shipping, Sales"
343,months use pencil deemed defective contracted apple replacement,Product Quality
344,not shown video less not color changing color less placed totally unsatisfied ,General
345,th generation pad product not work incompatible ,Product Quality
346,received parcel today quality ok cover white want grey,"Product Quality, Shipping"
347,item ok not fit bearer device useless would like return not working gives error,"Product Quality, Technical Support"
348,fine not much good,General
349,not loud sound,General
350,product complete waste ,Product Quality
351,tip mine got cracks right tip opposite sides keep book bag pad magic keyboard also works double tapping tip get fraser pen great keeping phone logs work notes pp ,General
352,perhaps worst purchase dark far disappointing returned ,Sales
353,bad results,General
354,size short price,Sales
355,worst experience quantity reduced supplier ,General
356,face products ,Product Quality
357,worst purchase dark pp far,Sales
358,received even not know worst experience,Shipping
359,packing needs improved please box damaged way least bubble warp ,Product Quality
360,device would not pair phone though working perfectly andros thanks geepact product good working infocar car scanned apes pus take time understand well not work dr pus anyway thanks good product money,"Product Quality, Technical Support"
361,material not bad good storing clothes stacks ,Product Quality
362,broke returned ,General
363,not work correctly would not write review pen literally broken refurbished item rolled dice top pen fell opening sell refurbished product least glance ,Product Quality
364,quality low really useful ,Product Quality
365,ordered strip light seller got faulty one bad experience hard earned money wasted ,"Product Quality, Technical Support, Sales"
366,colour size good stuff not good price,Sales
367,received bags bad condition ,Shipping
368,well packed timely delivery quantity normal,Shipping
369,poor quality ,Product Quality
370,scar alert ,General
371,sent right size picture shoes looked like navy blue actually black read description know picture can disguise sole not great shoes fine price ,Sales
372,assembly tip please make sure tightly insert steel noble assembling otherwise water leak dispense periphery filling jug bottle ,General
373,working fine suddenly would not pair pad fact not detestable bluetooth device yes charged far know no way communicate tell going no lights plugs read out looks cool stops working brilliant ,Technical Support
374,works well enough however plastic tip screwed way little center rest pencil not know defect pencil cheap plastic tip not come spare tips could compare axis not know sounds like nitpicking high price high expectations ,Sales
375,product received broken bottom fix shown first picture working fine,"Product Quality, Shipping"
376,worst experience not expect happen darazmall nd time received wrong product used years old bottle pathetic,"Product Quality, Shipping"
377,worked great months not work lost adapted price little low packing good,Sales
378,not negative review product seller bit misleading received product looks opened can find warranty ,"Product Quality, Shipping"
379,item order wrong product item ordered apple pencil th generation ,"Product Quality, Sales"
380,cheapest quality not recommended ,Product Quality
381,good product pick select brown color seller send pink color ok,"Product Quality, Shipping"
382,poor quality packing bottle already open box waste money,Product Quality
383,nice product ha value money ,"Product Quality, Sales"
384,product little bit expensive otherwise fine ,Product Quality
385,good liked ,General
386,absolutely terrible material quality almost close paper bag tore nipper packed full moved ,Product Quality
387,nice keyboard button good need time adjust cut pressing key little bit hard get use nice product,Product Quality
388,low quality product not even stand straight falls pipes bend joints flexible base not sealed insects can get wardrobe,"Product Quality, Shipping"
389,small young small kiss,General
390,sir working days ,General
391,perfect quality heads good mid want connect console not good connect connected headsets made pp voice law console ,Product Quality
392,according price ok not good solid material delivery time h,"Product Quality, Shipping, Sales"
393,quality vise not good bag that hi that gay say hope improve quality future bad experience ,Product Quality
394,price bad experience,Sales
395,arrived open damaged used official apple pencil box summer ,"Product Quality, Shipping"
396,update pencil no longer charges not even year told can anything sucks pencil works fine dirty not appear new not believe sent new pencil would love refund cannot afford pencil moment travelling highly disappointed feel slammed ,Technical Support
397,sole passing far three ha see law rah ha pair shoes hen,General
398,worst quality works days,Product Quality
399,supposed get money back,General
400,came used no sealed anything disappointed waste money id rather apple want refund cut utf,Shipping
401,colour good quality bad dark order ability bad order send axis not axis not collect order rd one cancel order axis not deliver,"Product Quality, Shipping, Sales"
402,bad expression,General
403,price expire date not mention remove price expire date can see picture overall okay,Sales
404,not good quality empty inside not recommended,Product Quality
405,packing bluff overall nice,General
406,well packed,General
407,item working perfectly fine month no stopped talk customer support suggested getting appointment went best buy told go apple replaced not buy amazon get apple ,"Customer Service, Product Quality, Sales"
408,shoes package packing deliver time,Shipping
409,worst literally broken,Product Quality
410,got product not think must came without plastic wrap everything fine like days later stopped working mad reason got pencil school up stopped working tried everything wasted money passed,Product Quality
411,totally different pick disjointed,General
412,problems strip light although colours bright except blue colour purple light purple not available need seller response ,"Customer Service, Technical Support"
413,settlement seller product quality not mark satisfied sale services seller,"Customer Service, Product Quality"
414,mouse pad really good price highly recommended buy not satisfied packing mouse pad curled corner ,Sales
415,low quality product ,Product Quality
416,nice lights light size small ,General
417,sound coming one ear,General
418,shoes dirty poor quality also ordered number size receive number in not satisfy product ,"Product Quality, Sales"
419,not happy product filled polyester type cotton thanks dark refund ,Product Quality
420,good white part coming one use ,General
421,cheap airport sounds cheapest ,General
422,unexpected small size little pressure disheart,General
423,size small not good not waste money shop not buy cheat,Sales
424,product came late promised greasy feeling applying not compare one earlier bought local superstore person leads believe not genuine would not buy axis not feeling sad wasting precious money ,"Product Quality, Sales"
425,average personally not like product not came expected not worked actually,Product Quality
426,not worth money thumb broke ,General
427,bad shows wearing,General
428,faulty piece delivered muffled sound output no matter whichever earphones try checked two different captors different earphones product seems used already color back little faded first bad experience dark ,"Product Quality, Technical Support"
429,packing quality lights perfect adhesive back could made stronger ,Product Quality
430,used acceptable pencil would pair pad would not work screen tried two pads not work either good pencil worked pads something may wrong tip internal pressure senior couple kings edge scratches replaceable tip received see photo might indicate damaged though may cosmetic mistake not identifying problem return window closed cost pencil live learn ,"Product Quality, Shipping, Technical Support, Sales"
431,product good everything working volume level low due low level volume not properly unable ,Product Quality
432,not bad kiss ,General
433,received parcel today mixed another parcel rider found delivered back,Shipping
434,not good ,General
435,totally wrong order not ordered scrunching ordered multi colored inappropriate,Sales
436,not satisfied one side earned not working,Product Quality
437,worked well months stopped charging went apple found sold pencil warranty would not even replace ,General
438,not satisfied charge item,Product Quality
439,connect pad min disconnected need keep putting charging port order connect ,Sales
440,ordered shoes one black gray delivered black marked order delivered pathetic service,"Customer Service, Sales"
441,product denied side arrived warranty card not date stamped,"Product Quality, Shipping"
442,board ok quality not good board started breaking end little use not recommend,Product Quality
