Sentiments,Reviews,language
negative,one is perfect but in other light blue colour is not working what should i do?,en
positive,I placed order on sale women Maga sales. I jus recieved my order. The packing was very good also the installation team came on the very next day so far its really good experience.,en
negative,"The box was open. Pen looks used, I paid full price for this, not sure why they would send me something used, not okay. I’m going to return and get it from the Apple store.",en
negative,"It was over all good but ,Yes nice but button does not glow",en
negative,I ordered sage oil but u send rosemary oil this unprofessional and unethical this is ur second huge mistake and totally un professiona,en
negative,"These shoes are not perfect, I got the size too small, or the finishing is also not perfect, or it is dammage on one side, I am returning the shoes, I am not satisfied with this product.",en
positive,good Quality fabric,en
positive,its very good highly recommend excellent sound good condition ,en
negative,"The light is very nice I have total 4 lights but 1 lights plugs has an issue 
Plz replace the plug",en
negative,not good. cooked with great difficulty ,en
positive,Loved them. It fitted perfectly well on my oralB electric brush,en
positive,"10/10 for packaging 10/10 for stitch and fit Totally loved it ♥️ Moreover they smell sooooo goooodddd ♥️♥️♥️ please add more variety, would love to shop again The only issue I am size medium but XL was still a bit tight for me",en
positive,perfect I order 2 one for me and one for my army bestie 💜✨,en
positive,nice product same as show in picture thanks 😊 im happy 😊,en
positive,It has more new features ❤️😮and best,en
positive,It is very nice website to buy things,en
negative,Looking old one..damage packing..no cell and nosepin inside.. no protective packing material used..,en
negative,3rd class inverter never buy this again in winter the noise of compressor is so loud i bought 3 units of this brand after using them i am strongly disappointed,en
positive,"the product is good i like it, this is the first time i bought something like this...",en
positive,recommended to others,en
negative,The blue Leds specifically dont work,en
negative,quality is avg as compared to the price I ordered another sweatshirt in lower price from daraz select and it was alot alot better than this in terms of quality.,en
negative,"all the pins were pressed in when i received the package, total waste of money 🙄",en
negative,"useless product, no result at all",en
negative,not satisfied with this product,en
negative,Warranty card given is of last year ..Warranty expires on 31 Dec 2016 however I have purchased it on 12 May 2017 and referigerator is not cooling anything .What should i do now ?,en
positive,"Excellent product
Just opened it
Quality sound
Quality material
Quality battery timing
Just perfect ",en
negative,colour is good but so small in size look like a toy as compare to price including delivery charges it is expensive not so good..,en
negative,"expired products sent me, very disappointed",en
negative,"A waste of money , they don’t even work , I charged them three times yet still they don’t work !!!👎👎👎👎",en
negative,"Product is very good , colourful lights, Bright Colours,But we accidentally broke it ",en
negative,I'm very disappointed last time I was ordered in black that was good but this quality is 😞,en
negative,"It is okay, but not highly recommended",en
negative,"Little bit damage on body 
But sound quality is quite fine in this price range 
Delivered and Received on time
Thanks seller",en
positive,"Exactly as ordered. Received my order just as expected. No issues in packaging or delivery. A+++ service from seller. Fast, easy to use and accurate enough. Well worth the price. Would highly recommend for home use of diabetic patients.",en
negative,worst seller ! and defected product. Waste of money,en
positive,"VERY GOOD QUALITY
DELIVERY IS FAST
GOOD BTS T SHIRT
I recommend to all armies to purchase this t shirt
Thank you so much Daraz🥰🥰🥰🤗🤗🤗😍😍😘",en
negative,I order black and brown but I receive all black not good seller to serve,en
positive,Delivered rest Review will be done after using,en
negative,they sent me wrong size I ordered 39 and they sent me 37 size and its so tiny for my feet a total wast of money been so hurting 😭,en
positive,Zabardast product ha my doughters soooo happy thankz daraz⭐⭐⭐⭐⭐,en
positive,Good quality potatoes ,en
positive,"it is wonderful
same thing I parcheas ",en
negative,very Annoying .it was very bad quality,en
negative,Shame on you Daraz for making peoples fool. Package includes nothing & the Sanitizer quality is 3rd class...,en
negative,I asked him.to. send the brown and red as mentioned in the screenshot. I reminded him almost 10 times but he still sent the wrong ones .,en
positive,"the packing was excellent, as well as the product was same as shown in the picture highly recommended to purchase roller from this store.",en
positive,"Excellent! Highly recommended, its very smooth and comfortable for tongue, is not abrasive like the metal one.",en
negative,size do not fit me but the quality is very good packing was very nice 👍,en
negative,the product is good and does work but its not as wide as shown in the pictures but still does the job and I recommend it,en
negative,Very bad experience,en
negative,The worst Apple Pencil after 1 year doesn’t work anymore Pure Garbage don’t buy it anymore,en
negative,Lights started felling off after two days. V low quality,en
positive,Its so perfect 😍! Gives vintage vibes. Stuff is also perfect,en
positive,product is very amazing and seller is very honoured. delivery on timing and so fast thnks Seller .🥰,en
negative,Not bad but if you do not have heel cover then you feel uncomfortable cause of balnace,en
positive,best quality highly recommend and next month in sha Allah order for my sister's also,en
negative,best so far🤩🤩and  reasonable too,en
positive,Good voice quality. Satisfied ,en
positive,Compare to price good quality ,en
positive,everythinG iS pErfEct 💓 recommenDed,en
positive,The product is good I recommend to buy it It can be used for brooders and incubators,en
negative,all stars defective,en
positive,I just love love & love my purchase. The most comfortable & the most light weight shoes. With the most reasonable price. Highly recommended from my side💯💯💯💯,en
negative,"all-over very good . sound , charging time but it is does not working in calling time, I m just use for movie and music time ",en
negative,38 size is very small,en
positive,"Indeed one of remarkable experiences i have from daraz, seller was super cooperative and product is aslo upto criteria",en
positive,"good quality
same as ordered ",en
positive,you can use it for a long time and it does not rip off like other loofahs,en
positive,"👍 best material
satisfied ",en
negative,I love this straightener but the packing of the box is very cheap and also the box was is fold,en
positive,I receive my order thank a lot its amazing 😍,en
positive,Beautiful product stuff🙃🤗 is too much good i like🥰 it to much and very fast delivery i give it 5 stara☺,en
positive,it is also good quality product thanks and very fast delivered,en
positive,good device working properly thanks a lot.,en
negative,"After boiling water turn into yellow color , not recommended to buy .. bad experience first time from daraz .. 🙄",en
negative,overall quality was good but i got wrong size just becz of some misundestanding otherwise 100 percent recomended,en
positive,"the shoes are truly amazing with very less price.
quality is also awesome.
thanks to seller and daraz.",en
negative,The utility of the product is good but the quality isn't.,en
negative,its 3rd time i ordered but at this i m not satisfied.. unpleasant smel no expiry date its mean this product is too old and expired.,en
positive,I really like this product.,en
negative,"I orderd blue its size was ok than i orderd the same size in red twice from my other account and they sent the wrong size measurements can be seen in the pics, quality is good",en
positive,good shoes thanks draz,en
positive,excellent product in cheap rate,en
positive,Very good sound. Loud ,en
negative,Quality is not very good but in this price ok thanks daraz😊,en
negative,"they seems too dry to me normally oats gets soft after 4,5 mins of cooking but these took long time but still felt undercooked and taste was not very pleasant too",en
negative,"I bought an Apple Pencil for my iPad Pro 11 inch. I am surprised and chagrined that it cannot be used for switching apps, making me resort to my thumb, instead of the $125 Pencil.  Other than drawing, the Elyan Stylus which I also purchased through Amazon is superior in every way.",en
positive,guyzz its mindblowing.i just loved it,en
negative,Potatoes was very very good from market which I have buyed it was sweet but from daraz fresh it is not sweet and also it is the item which is same as per web. good to see 😊,en
negative,Very attractive I look sexy but slight tight. Recommended Daraz and seller,en
negative,this shirt is incredible it is great but there are some problems like its stickers that are printed are getting out and the shirt colour is also shedding and I have it only for 6 days,en
negative,"Doesn’t work on Suzuki every wagon 2008, for me it’s useless. no user guide on how to use. Also iphone 7 does not pair with this device, can see, recognize. ipad 4th gen sees but not my vehicle.",en
negative,Ampere calibration is not working properly.,en
positive,"I was hesitant to purchase the product. There are too many OBD2 scanners in the market and it is difficult to get one who will work for you. I checked this OBD2 scanner with Suzuki Vitara and it is providing all the information which I needed. Therefore, I am recommending this seller for OBD2 scanner purchase.",en
negative,Packing is not good but Product is so good same as it show in pictures,en
negative,nice but small in size,en
negative,Same as shown in the picture but unfortunately one is damaged.,en
negative,it is not a high-quality product but gets the job done. ,en
negative,Very good but its for winter,en
positive,The quality is very good the delivery was so fast and the products were nicely packed,en
positive,Very good item sent by the seller. The price calculations are lovely and soft. I am very satisfied💯😎👍,en
negative,Truly disappointed. Seller could have added barley and channa/other flours to make it at least 50% wheat and 50% other but no.. everyone is after quick bucks.,en
negative,compressor of the AC is tripping again and again making cooling impossible.,en
positive,These towels are awesome and have held up their color and durability for months now. I still have new ones I�m waiting to put out!,en
positive,Good quality recommend to.  Buy,en
positive,I love it and recommend it to everyone.,en
positive,Good product best seller Good quality in low price This is my 3rd order,en
positive,Didnt get the color i ordered but it was still my size and very comfortable. Got it right before my event too. It is of pretty good quality,en
negative,product is good quality it blends evenly on skin good consistency packaging was also very good but it is very small almost like a finger you can buy it as a sample,en
negative,"overall better in this price. But after 1 week, the fabric have started tgoo come off as you can see in the picture.",en
negative,Seems like used article. Very bad experience.,en
positive,"Fair Quality Product , 👍 . Good For Casual Home Use Not Long Lasting , 👍 . Delivered by Daraz in Lahore within 6 days of ordering , 👍 . Timely, Securely, Safely & Fastly Delivered by Daraz Delivery Team , 👍 .",en
negative,These lights did not proper light up just little tiny strip doing work other strip lenght iss totally useless. What is this behavior guys?? After fixing spoted this problem I really disappointed 😞☹️,en
positive,Good Stars and Experience 🤭😍,en
negative,given me local product in Aiwa . packing also packing is also broken not satisfied by your product i need my refund,en
positive,Product is good with a very reasonable price,en
negative,It is not charging and it have dent also give me voucher also,en
positive,good product in less price. good seller. delivery on time,en
negative,it was not worth it,en
negative,"cheep plastic, but useful",en
negative,sounds quality to good mic not bed 80/100 mark's 🙃,en
positive,Exceptional Quality.... Amazing 🔥🔥,en
positive,excellent packing and complete saman k sath,en
negative,"when connected to my old gen iPad it was very laggy, and the device shape seems hard to have a. grip on.",en
positive,Great experience best product playback time almost 2/3hours with Powerbank it goes on 6/7hours much cheaper then offline market due to Flash Sale & DFG Voucher,en
negative,Very poor service two hand frees were ordered only one was delivered. Spam guys,en
negative,Product is good bt size not comfortable for me I change and again book extra large size because I need this size,en
negative,the seller is Soo cooperative but quality is normal,en
negative,Stars size is too much small.,en
negative,"below average , almost torned both sides after 2days use",en
negative,The pen is perfect! Always ify to see or buy stuff online but so far so good,en
negative,waste of money. not comfortable and it got fold whenever i sit,en
positive,Its 10/10 quality.,en
positive,Yaar amazing I lost words to describe it. Found more good than I wanted. HIGHLY RECOMMENDED.,en
positive,the best quality's,en
positive,Very nice earphone. highly recommend ,en
negative,sizes are incorrect,en
positive,I'm impressed..Original Quality..Discounted Price..Great Packing..Fast Delivery..what else you need..!! Thank you Seller..Thank you Daraz 🥰,en
positive,bohat axha experience raaha you should also buy product from this store ,en
positive,fresh and good,en
positive,very nice product same show in picture I really like.I ordered on draz many time I appreciate this app it is very nice 👍,en
positive,Thank you so much daraz and maskal mahal for providing me so so so much beautiful fragrance I love this fragrance everyone asked me which perfume you used and this long lasting attar I got it in very reasonable on 1212 sale thanks for 1212 I always recommend daraz online shopping thanks again daraz,en
negative,"worst experience so far. I got faulty InPods, and theses do not connect with my Infinix note 11 pro. It connects for 5 seconds, then gets automatically disconnected.",en
negative,"potato order kiye the or rider kisi or ko deliver krdia,very bad or complain par koi response nai dia gaya",en
positive,"good quality, recommended",en
positive,Fair & lovely original form official store. fast shipping with great packaging. Thanks daraz for providing good and fast service.,en
negative,"This is the classic case of cool technology failing miserably to the tried and true analog pencil and pen. While sleek and cool, it’s just inefficient. It doesn’t come with a charger. You have to take the iPad out of its case to pair and charge the pencil - and it’s not easy to get the case off. The handwriting conversion to text is more annoying than helpful. Get a good keyboard instead if you want to take notes or type onto an iPad.",en
positive,the compass is accurate I have checked with phone and it is good 👍🏻,en
positive,good product.delivered fast.,en
negative,I ordered white airpods but I got black one ,en
negative,do not buy from this vendor. he is absolutely fraud. the Powder colour is not like musli powder. it is full of Sand particles and dust,en
positive,Cucumber is best quality good quality good packing good size,en
positive,fresh & very good quality/grade thanks Daraz.,en
positive,cap quality is good size is for children or person with a small head,en
positive,It looks cool 😎 ,en
positive,very nice..it is enough quantity,en
positive,Good quality under 1k.,en
positive,Excellent quality and performance TCL,en
positive,"TOday I bought My parcel, This Maxi are Beautiful Same as show I love it Insha Allah Shop again❤️✨ Thank you seller & Daraz Recommended ✅",en
negative,Not up to the mark. Expensive product & low quality fabric,en
positive,The potatoes were good and they were also fresh ,en
negative,I got it in january and one of the sides stopped working in may. so a total a four months life span. ,en
positive,"Love it,too soft and comfortable ❤️.",en
negative,"Dear Daraz, I order blue color and said to seller need 44 size.but unfortunately he send me black color and 43 size.Already I chat with him about same order but he fraud with me and shoes finishing is very pathetic and hard sole.very worst experience. I need pay back.",en
negative,This fragrance had a strange chemical undertone that was off-putting. It made the overall scent unpleasant and unnatural. I could not shake off the feeling that I was wearing something synthetic rather than a well-crafted fragrance.,en
negative,Its good but it becomes sticky after wearing first time not fully satisfied,en
positive,Excellent Quality same item received as shown in the picture,en
positive,"IT IS VERY VERY AWESOME AND COMFORTABLE AND HIGHLY RECOMMEND 
THANKS DRAZ ",en
positive,Quality is good as compared to price. They are improving their services day by day. In Future there will be more comfortable stuff,en
negative,"The item itself looked fine.  did not seem damaged, but the Apple Pencil, which was purchased from Amazon.com Services LLC, was already unwrapped when it arrived.  This was sold as new, so we did not want to take for granted that it would continue to be okay, or would hold up to a warranty.  Apple was called, and they confirmed that it was not packed the way it should have been.  We do not know if it was actually used, and if used, how long it had already been used, or maybe someone just did not want it and returned it after trying it.  We do not know if it came that way from the apple store, or if it may have been unwrapped at the distribution center.  We returned the item, and, instead, bought directly from the apple store.  That item came packed new.",en
positive,"Best Quality, Best Price",en
negative,"bad quality. 
never buy this ",en
negative,"Product is ok in working condition but housing structure wise much lower,any how over all good product thanks you.",en
negative,Price of this frames in market is 12 to 18 hundred,en
positive,fresh and properly packed,en
positive,"The order was before time and quality is good, Thanks supplier and Draz",en
negative,sent completely different product,en
positive,I’m impressed with the quality! It is as it is shown in the picture. Will shop more. Thanks for sending my way.my favorite product.,en
negative,"The hoops are kind of open and the shape looks kind of odd, but it’s still pretty cool.",en
negative,Very good quality it arrived bit late but otherwise its okay overall satisfied,en
negative,i punch my Order for i18s But the Product i get was the packing of i14s 😂 And Within the box the buds was i12s but Overall The product was Good Fully satisfied Thanks Daraz. Good work delivery on Time.👍💞💖,en
positive,"got the product on time,good product️",en
negative,I ordered 2 frames but received 1 in the price of both. Quality of product average,en
positive,"Good quality, price and fresh. Also came on time. Happy with the purchase",en
negative,"compass not working properly, but rest of item is seems fine, will use it soon",en
negative,i ordered 43 number and they send me 42.the shoes quality is so low and ruff.such a bad experience,en
negative,"Very cheap quality,",en
positive,packaging was really good nice product,en
positive,Product is 100 % authentic satisfied ❤️🤍,en
positive,Good quality potatoes. Thank you Daraz! ,en
positive,Everything is Perfect. Arrived in 2 days. Quality is excellent for the price. Will come back for more 👍,en
negative,"this is not good, its better to purchase rexine cloth cover.",en
negative,"product quality is not very good but working ok
thanks daraz ",en
positive,"Came in a really good packing, their quality is upto the mark and have real fine finishing",en
negative,llegó a tiempo pero no funcionó,en
negative,Bad experience... Battery life is poor. One earbud isn't working at all.. Data cable is not charging the device. Low and poor quality. ,en
negative,"the color that was ordered is clearly black but I received it in blue, mildly satisfied, got delivered before the delivery estimation, and the quality is accordingly to the price paid for the item",en
positive,I am happy because what I saw exactly the same stuff I received. Good qualit is and serves the purpose.,en
negative,"The item is good but a little small in size. however, it will done the job nicely.",en
negative,Just got scammed,en
positive,it is a really nice product just as described.,en
positive,"Im very happy to have this , its a really good product to knead dough and roll roti . it stick very well on shelf surface.❤ recommended",en
negative,I asked for the back one but they sent me the brown one instead,en
negative,Pencil did not work. Brought it to Apple store. They tried to get it to sync with iPad and keyboard. Would not sync. The Apple store replaced it for me. I am still awaiting my two year warranty. I paid for it but did not receive it.,en
